name,domain,website,linkedin_url,industry,vertical,tier,status,headquarters,address,city,state,zip,phone,estimated_employees,estimated_revenue,total_beds,acute_beds,description,keywords,founded_year,twitter_url,facebook_url,logo_url,rural_urban,pay_type,source,source_id,apollo_id,recallwire_package,recallwire_price,recallwire_price_monthly,entity_type,parent_system,parent_system_id,tier,segment,individual_price,system_price,effective_price,priority_score,region,in_vantage,system_in_vantage
St. Elizabeth Dearborn Hospital,,,,Healthcare,healthcare,Enterprise,new,"Lawrenceburg, IN",600 Wilson Creek Rd,Lawrenceburg,IN,47025,+1 (812) 497-7665,468,117000000,78,50.0,,,,,,,Rural,PPS,us_hospital_list_2024,150086,,Enterprise,21400,1783.33,independent,,,Enterprise,community,23340,,23340,36,Midwest,false,false
Ascension St. Vincent Anderson,stvincent.org,http://www.stvincent.org,http://www.linkedin.com/company/saint-john's-health-system,Healthcare,healthcare,Enterprise,new,"Anderson, IN",2015 Jackson St.,Anderson,IN,46016,+1 (317) 338-8346,1170,292500000,195,144.0,,,1881,https://twitter.com/_StVincent,https://facebook.com/StVincentHealth.Indiana,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67311d42a117250001963b22/picture,Urban,PPS,us_hospital_list_2024,150088,55923da473696418bcffeb00,Enterprise,27700.0,2308.33,system_member,Ascension,ascension,Enterprise,community,26850,3400.0,3400.0,32,Midwest,false,true
Indiana University Health Ball Memorial Hospital,,,http://www.linkedin.com/company/indiana-university-health-ball-memorial-hospital-inc.,Healthcare,healthcare,Enterprise,new,"Muncie, IN",2401 University Ave,Muncie,IN,47303,+1 (765) 747-3111,2274,568500000,379,301.0,,,1929,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,150089,672b5291184e860001a80ba8,Enterprise,38800.0,3233.33,system_member,Indiana University Health,indiana_university_health,Enterprise,community,32370,4750.0,4750.0,32,Midwest,false,false
Franciscan Health Dyer,,,http://www.linkedin.com/company/franciscan-health-dyer-&-hammond,Healthcare,healthcare,Enterprise,new,"Dyer, IN",24 Joliet St.,Dyer,IN,46311,+1 (219) 865-2141,1188,297000000,198,166.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,MDH/RRC,us_hospital_list_2024,150090,66dc04d242fd22000117b4b2,Enterprise,27900.0,2325.0,system_member,Franciscan Health,franciscan_health,Enterprise,community,26940,3800.0,3800.0,32,Midwest,false,false
Parkview Huntington Hospital,,,http://www.linkedin.com/company/parkview-huntington-hospital,Healthcare,healthcare,Standard,new,"Huntington, IN",2001 Stults Rd,Huntington,IN,46750,+1 (260) 355-3000,216,54000000,36,36.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,PPS,us_hospital_list_2024,150091,6715496afd2cdc00019f920d,Standard,5000,416.67,system_member,Parkview Health,parkview_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Major Hospital,mymhp.org,http://www.mymhp.org,http://www.linkedin.com/company/majorhealthpartners,Healthcare,healthcare,Enterprise,new,"Shelbyville, IN",2451 Intelliplex DR,Shelbyville,IN,46176,+1 (317) 392-3211,306,76500000,51,46.0,,,1924,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6960a5c7fafd450001c27ea8/picture,Urban,PPS,us_hospital_list_2024,150097,5500b3ca7369642dc2253300,Enterprise,20000,1666.67,independent,,,Enterprise,community,22530,,22530,36,Midwest,false,false
Ascension St. Vincent Evansville,,,,Healthcare,healthcare,Enterprise Plus,new,"Evansville, IN",3700 Washington Ave,Evansville,IN,47750,+1 (812) 485-4000,2484,621000000,414,346.0,,,,,,,Urban,PPS,us_hospital_list_2024,150100,,Enterprise Plus,45700.0,3808.33,system_member,Ascension,ascension,Enterprise Plus,community,57420,4250.0,4250.0,32,Midwest,false,true
Parkview Whitley Hospital,,,http://www.linkedin.com/company/parkview-whitley-hospital,Healthcare,healthcare,Standard,new,"Columbia City, IN",1260 E SR 205,Columbia City,IN,46725,+1 (260) 248-9301,180,45000000,30,30.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,PPS,us_hospital_list_2024,150101,66dd2a414bbff90001fe270c,Standard,5000,416.67,system_member,Parkview Health,parkview_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Northwest Health- Starke,nwhealthstarke.com,http://www.nwhealthstarke.com,http://www.linkedin.com/company/northwest-health---starke,Healthcare,healthcare,Enterprise,new,"Knox, IN",102 E Culver Rd,Knox,IN,46534,+1 (574) 772-6231,318,79500000,53,15.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c0c905e53fad0001a21be4/picture,Rural,MDH,us_hospital_list_2024,150102,66f785c9283d6700014bd17a,Enterprise,20200,1683.33,independent,,,Enterprise,community,22590,,22590,36,Midwest,false,false
Witham Health Services,witham.org,http://www.witham.org,http://www.linkedin.com/company/witham-health-services,Healthcare,healthcare,Enterprise,new,"Lebanon, IN",2605 N Lebanon St.,Lebanon,IN,46052,+1 (765) 485-8000,312,78000000,52,50.0,,,1915,https://twitter.com/withamhealth,https://www.facebook.com/WithamHealthServices,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696dcd305e452c0001bb1abf/picture,Rural,PPS,us_hospital_list_2024,150104,5592128f73696424def31a00,Enterprise,20100,1675.0,system_member,M Health Fairview,m_health_fairview,Enterprise,community,22560,3800.0,3800.0,32,Midwest,false,true
Franciscan Health Lafayette,ste.org,http://www.ste.org,http://www.linkedin.com/company/franciscan-st-elizabeth-health---lafayette-central,Healthcare,healthcare,Enterprise,new,"Lafayette, IN",1701 S Creasy Ln,Lafayette,IN,47905,+1 (317) 705-4500,1116,279000000,186,177.0,,,1876,https://twitter.com/stelizabeth,https://facebook.com/stehealth,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,150109,6702f52a4667e60001b4a1ac,Enterprise,27200.0,2266.67,system_member,Franciscan Health,franciscan_health,Enterprise,community,26580,3800.0,3800.0,32,Midwest,false,false
Columbus Regional Hospital,,,http://www.linkedin.com/company/columbus-regional-hospital-foundation-inc,Healthcare,healthcare,Enterprise,new,"Columbus, IN",2400 E 17th St.,Columbus,IN,47201,+1 (812) 379-4441,960,240000000,160,213.0,,,1952,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,150112,6749810733f45b0001272e79,Enterprise,25600.0,2133.33,independent,,,Enterprise,community,25800,,25800,42,Midwest,false,false
Community Hospital of Anderson and Madison County,,,,Healthcare,healthcare,Enterprise,new,"Anderson, IN",1515 N Madison Ave,Anderson,IN,46011,+1 (765) 298-4242,822,205500000,137,117.0,,,,,,,Urban,PPS,us_hospital_list_2024,150113,,Enterprise,24400,2033.33,independent,,,Enterprise,community,25110,,25110,42,Midwest,false,false
Memorial Hospital and Health Care Center,deaconessmemorial.com,http://www.deaconessmemorial.com,http://www.linkedin.com/company/memorial-hospital-and-health-care-center,Healthcare,healthcare,Enterprise,new,"Jasper, IN",800 W 9th St.,Jasper,IN,47546,+1 (812) 996-2345,738,184500000,123,96.0,,,1951,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f9b0e0ada610001648261/picture,Rural,RRC,us_hospital_list_2024,150115,5f483f5c369a630001be07e3,Enterprise,23600,1966.67,independent,,,Enterprise,community,24690,,24690,36,Midwest,false,false
Community Hospital,,,,Healthcare,healthcare,Enterprise Plus,new,"Munster, IN",901 Macarthur Blvd,Munster,IN,46321,+1 (219) 836-1600,2622,655500000,437,405.0,,,,,,,Urban,PPS,us_hospital_list_2024,150125,,Enterprise Plus,46900.0,3908.33,system_member,Community Healthcare System,community_healthcare_in,Enterprise Plus,community,58110,5000.0,5000.0,32,Midwest,true,false
Franciscan Health Crown Point,,,,Healthcare,healthcare,Enterprise,new,"Crown Point, IN",12750 Saint Francis Drive,Crown Point,IN,46307,+1 (219) 757-6100,1248,312000000,208,172.0,,,,,,,Urban,PPS,us_hospital_list_2024,150126,,Enterprise,28500.0,2375.0,system_member,Franciscan Health,franciscan_health,Enterprise,community,27240,4750.0,4750.0,32,Midwest,false,false
Community Hospital South,sdch.com,http://www.sdch.com,http://www.linkedin.com/company/south-davis-community-hospital-foundation,Healthcare,healthcare,Enterprise,new,"Indianapolis, IN",1402 E County Line Rd S,Indianapolis,IN,46227,+1 (801) 295-2361,762,190500000,127,169.0,,,1960,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6753a41ab8129c00019d6a90/picture,Urban,RRC,us_hospital_list_2024,150128,5a9f7392a6da98d9a15f3c9b,Enterprise,23800,1983.33,independent,,,Enterprise,community,24810,,24810,36,Midwest,false,false
Lutheran Kosciusko Hospital,,,http://www.linkedin.com/company/lutheran-kosciusko-hospital,Healthcare,healthcare,Enterprise,new,"Warsaw, IN",2101 E Dubois DR,Warsaw,IN,46580,+1 (574) 267-3200,432,108000000,72,72.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,MDH/RRC,us_hospital_list_2024,150133,65f643eb4f40ea00073fab76,Enterprise,21100,1758.33,independent,,,Enterprise,community,23160,,23160,36,Midwest,false,false
Parkview Noble Hospital,,,http://www.linkedin.com/company/parkview-noble-hospital,Healthcare,healthcare,Standard,new,"Kendallville, IN",401 Sawyer Rd,Kendallville,IN,46755,+1 (260) 347-8700,186,46500000,31,31.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,MDH,us_hospital_list_2024,150146,670ba5f87d492300015924ce,Standard,5000,416.67,system_member,Parkview Health,parkview_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Women's Hospital the,thewomens.org.au,http://www.thewomens.org.au,http://www.linkedin.com/company/the-royal-women's-hospital,Healthcare,healthcare,Enterprise,new,"Newburgh, IN",4199 Gateway Blvd,Newburgh,IN,47630,+1 (812) 842-4200,444,111000000,74,74.0,,,1856,https://twitter.com/thewomens,https://www.facebook.com/theroyalwomenshospital,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695e4b116d630800011bfd93/picture,Urban,PPS,us_hospital_list_2024,150149,54a1340469702d3170a31a00,Enterprise,21200,1766.67,independent,,,Enterprise,community,23220,,23220,36,Midwest,false,false
Dupont Hospital Llc,,,,Healthcare,healthcare,Enterprise,new,"Fort Wayne, IN",2520 E Dupont Rd,Fort Wayne,IN,46825,+1 (260) 416-3000,786,196500000,131,131.0,,,,,,,Urban,PPS,us_hospital_list_2024,150150,,Enterprise,24000,2000.0,independent,,,Enterprise,community,24930,,24930,36,Midwest,false,false
Ascension St. Vincent Heart Center,,,,Healthcare,healthcare,Enterprise,new,"Carmel, IN",10580 N Meridian St.,Carmel,IN,46290,+1 (317) 583-5000,642,160500000,107,107.0,,,,,,,Urban,PPS,us_hospital_list_2024,150153,,Enterprise,22800,1900.0,system_member,Ascension,ascension,Enterprise,community,24210,3400.0,3400.0,32,Midwest,false,true
Ascension St. Vincent Carmel,,,,Healthcare,healthcare,Enterprise,new,"Carmel, IN",13500 N Meridian St.,Carmel,IN,46032,+1 (317) 582-7901,642,160500000,107,124.0,,,,,,,Urban,PPS,us_hospital_list_2024,150157,,Enterprise,22800,1900.0,system_member,Ascension,ascension,Enterprise,community,24210,3400.0,3400.0,32,Midwest,false,true
IU Health West Hospital,,,http://www.linkedin.com/company/iu-health-west-hospital,Healthcare,healthcare,Enterprise,new,"Avon, IN",1111 N Ronald Reagan Pkwy,Avon,IN,46123,+1 (317) 217-3000,762,190500000,127,173.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Urban,PPS,us_hospital_list_2024,150158,67406315ede60c0001d8bc5b,Enterprise,23800,1983.33,system_member,Indiana University Health,indiana_university_health,Enterprise,community,24810,3800.0,3800.0,32,Midwest,false,false
Orthoindy Hospital,,,,Healthcare,healthcare,Standard,new,"Indianapolis, IN",8400 Northwest Blvd,Indianapolis,IN,46278,+1 (317) 956-1000,228,57000000,38,38.0,,,,,,,Urban,PPS,us_hospital_list_2024,150160,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Indiana University Health North Hospital,,,http://www.linkedin.com/company/indiana-university-health-north-hospital-inc.,Healthcare,healthcare,Enterprise,new,"Carmel, IN",11700 N Meridian St.,Carmel,IN,46032,+1 (317) 688-2000,894,223500000,149,153.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,150161,674aa31d9555bd000183de9c,Enterprise,25000,2083.33,system_member,Indiana University Health,indiana_university_health,Enterprise,community,25470,3800.0,3800.0,32,Midwest,false,false
Franciscan Health Indianapolis,,,http://www.linkedin.com/company/franciscan-st-francis-health---indianapolis,Healthcare,healthcare,Enterprise,new,"Indianapolis, IN",8111 S Emerson Ave,Indianapolis,IN,46237,+1 (317) 528-5000,2310,577500000,385,410.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,150162,673a90dd291e120001ae677e,Enterprise,39100.0,3258.33,system_member,Franciscan Health,franciscan_health,Enterprise,community,32550,4750.0,4750.0,32,Midwest,false,false
Franciscan Health Munster,,,,Healthcare,healthcare,Enterprise,new,"Munster, IN",701 Superior Ave,Munster,IN,46321,+1 (219) 922-4200,378,94500000,63,78.0,,,,,,,Urban,PPS,us_hospital_list_2024,150165,,Enterprise,20600,1716.67,system_member,Franciscan Health,franciscan_health,Enterprise,community,22890,3800.0,3800.0,32,Midwest,false,false
Pinnacle Hospital,pinnaclehealthcare.net,http://www.pinnaclehealthcare.net,http://www.linkedin.com/company/pinnacle-hospial,Healthcare,healthcare,Standard,new,"Crown Point, IN",9301 Connecticut DR,Crown Point,IN,46307,+1 (219) 756-2100,108,27000000,18,18.0,,,2007,https://twitter.com/PinnacleHospita,https://facebook.com/pages/Pinnacle-Hospital/290590544302078,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67d0923d77e4bd0001baef1b/picture,Urban,PPS,us_hospital_list_2024,150166,55fa7b5cf3e5bb7fd2001a49,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Orthopaedic Hospital at Parkview North Llc,sport1.com,http://www.sport1.com,http://www.linkedin.com/company/orthopaedic-hospital-at-parkview-north-llc,Healthcare,healthcare,Standard,new,"Fort Wayne, IN",11130 Parkview Circle DR,Fort Wayne,IN,46845,+1 (260) 471-9440,294,73500000,49,37.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,150167,673c2b71a898240001fbc16c,Standard,5000,416.67,system_member,Parkview Health,parkview_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
The Orthopaedic Hospital of Lutheran Health Networ,,,http://www.linkedin.com/company/the-orthopaedic-hospital-of-lutheran-health-networ,Healthcare,healthcare,Standard,new,"Fort Wayne, IN",7952 W Jefferson Blvd,Fort Wayne,IN,46804,+1 (260) 435-2999,264,66000000,44,38.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,150168,673089738c7edd0001be395b,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Community Hospital North,nhch.com,http://www.nhch.com,http://www.linkedin.com/company/north-hawaii-community-hospital,Healthcare,healthcare,Enterprise,new,"Indianapolis, IN",7150 Clearvista DR,Indianapolis,IN,46256,+1 (808) 691-5300,1788,447000000,298,340.0,,,1987,,https://www.facebook.com/thequeenshealthsystems/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695ff16e9904740001529867/picture,Urban,PPS,us_hospital_list_2024,150169,54a23cb57468693a7ea49d18,Enterprise,33900.0,2825.0,independent,,,Enterprise,community,29940,,29940,42,Midwest,true,false
Physicians' Medical Center Llc,,,http://www.linkedin.com/company/physicians-medical-center-llc,Healthcare,healthcare,Standard,new,"New Albany, IN",4023 Reas Ln,New Albany,IN,47150,+1 (812) 206-7660,72,18000000,12,10.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,150172,6729f6f740c5490001886c9e,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Indiana University Health Arnett Hospital,,,http://www.linkedin.com/company/indiana-university-health-arnett-hospital,Healthcare,healthcare,Enterprise,new,"Lafayette, IN",5165 Mccarty Ln,Lafayette,IN,47905,+1 (765) 448-8000,1146,286500000,191,192.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,150173,5fca591311b6e80001aead6a,Enterprise,27500.0,2291.67,system_member,Indiana University Health,indiana_university_health,Enterprise,community,26730,3800.0,3800.0,32,Midwest,false,false
Unity Physicians Hospital,unityphysicianshospital.net,http://www.unityphysicianshospital.net,http://www.linkedin.com/company/unity-medical-&-surgical-hospital,Healthcare,healthcare,Standard,new,"Mishawaka, IN",4455 Edison Lakes Pkwy,Mishawaka,IN,46545,+1 (574) 231-6869,174,43500000,29,29.0,,,2009,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e210225559800012077c6/picture,Urban,PPS,us_hospital_list_2024,150177,54a1a08d7468695c82f0fa02,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Community Fairbanks Recovery Center,fairbankscd.org,http://www.fairbankscd.org,http://www.linkedin.com/company/fairbanks-treatment-center,Healthcare,healthcare,Enterprise,new,"Indianapolis, IN",8102 Clearvista Parkway,Indianapolis,IN,46256,+1 (800) 225-4673,516,129000000,86,52.0,,,1945,https://twitter.com/FairbanksCD,https://facebook.com/fairbankscd,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695590fccbe51a0001e95596/picture,Urban,PPS,us_hospital_list_2024,150179,54a1270e69702d9ebcdd3400,Enterprise,21800,1816.67,independent,,,Enterprise,community,23580,,23580,36,Midwest,false,false
Ascension St. Vincent Fishers,,,,Healthcare,healthcare,Standard,new,"Fishers, IN",13861 Olio Road,Fishers,IN,46037,+1 (317) 415-9000,276,69000000,46,46.0,,,,,,,Urban,PPS,us_hospital_list_2024,150181,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Monroe Hospital,monroehospital.com,http://www.monroehospital.com,http://www.linkedin.com/company/monroe-hospital,Healthcare,healthcare,Standard,new,"Bloomington, IN",4011 S Monroe Medical Park Blvd,Bloomington,IN,47403,+1 (812) 825-1111,192,48000000,32,32.0,,,2005,https://twitter.com/monroehospital,https://facebook.com/MonroeHealthcare/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696418c61db3950001acd78f/picture,Urban,PPS,us_hospital_list_2024,150183,54a1bc7074686942d37a7f0c,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
"Franciscan Beacon Hospital, Llc",,,,Healthcare,healthcare,Standard,new,"La Porte, IN",1010 W SR 2,La Porte,IN,46350,+1 (219) 575-6700,48,12000000,8,0.0,,,,,,,Urban,PPS,us_hospital_list_2024,150191,,Standard,5000,416.67,system_member,Franciscan Health,franciscan_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Franciscan Health Orthopedic Hospital Carmel,,,,Healthcare,healthcare,Standard,new,"Carmel, IN",10777 Illinois Street,Carmel,IN,46032,+1 (574) 256-3935,138,34500000,23,20.0,,,,,,,Urban,PPS,us_hospital_list_2024,150193,,Standard,5000,416.67,system_member,Franciscan Health,franciscan_health,Standard,specialty,5000,3800.0,3800.0,32,Midwest,false,false
Community Hospital of Bremen Inc,,,http://www.linkedin.com/company/community-hospital-of-bremen-inc,Healthcare,healthcare,Standard,new,"Bremen, IN",1020 High Rd,Bremen,IN,46506,+1 (574) 546-2211,144,36000000,24,24.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,151300,6667fda920d5e50001deb7f3,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Ascension St. Vincent Randolph,,,,Healthcare,healthcare,Standard,new,"Winchester, IN",473 E Greenville Ave,Winchester,IN,47394,+1 (765) 584-0004,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,151301,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Ascension St. Vincent Jennings,,,,Healthcare,healthcare,Standard,new,"North Vernon, IN",301 Henry St.,North Vernon,IN,47265,+1 (812) 352-4228,114,28500000,19,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,151303,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Rush Memorial Hospital,rushmemorial.com,http://www.rushmemorial.com,http://www.linkedin.com/company/rush-memorial-hospital,Healthcare,healthcare,Standard,new,"Rushville, IN",1300 N Main St.,Rushville,IN,46173,+1 (765) 932-4111,150,37500000,25,25.0,,,1892,https://twitter.com/RushMemorial,https://www.facebook.com/people/Rush-Memorial-Hospital-Indiana/100063637447418/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695e67828f2e1200010897ef/picture,Rural,CAH,us_hospital_list_2024,151304,54a1364f69702d3cbbda3a01,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Pulaski Memorial Hospital,pulaskimemorial.com,http://www.pulaskimemorial.com,http://www.linkedin.com/company/pulaski-memorial-hospital,Healthcare,healthcare,Standard,new,"Winamac, IN",616 E 13th St.,Winamac,IN,46996,+1 (574) 946-2100,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Rural,CAH,us_hospital_list_2024,151305,670f3d5b0900e10001fb04ee,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Indiana University Health Paoli Hospital,,,,Healthcare,healthcare,Standard,new,"Paoli, IN",642 W Hospital Rd,Paoli,IN,47454,+1 (812) 723-2811,150,37500000,25,24.0,,,,,,,Rural,CAH,us_hospital_list_2024,151306,,Standard,5000,416.67,system_member,Indiana University Health,indiana_university_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Ascension St. Vincent Williamsport,,,,Healthcare,healthcare,Standard,new,"Williamsport, IN",412 N Monroe St.,Williamsport,IN,47993,+1 (765) 762-4001,96,24000000,16,16.0,,,,,,,Rural,CAH,us_hospital_list_2024,151307,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Ascension St. Vincent Mercy,,,,Healthcare,healthcare,Standard,new,"Elwood, IN",1331 S a St.,Elwood,IN,46036,+1 (765) 552-4743,150,37500000,25,18.0,,,,,,,Rural,CAH,us_hospital_list_2024,151308,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Ascension St. Vincent Clay,,,,Healthcare,healthcare,Standard,new,"Brazil, IN",1206 E National Ave,Brazil,IN,47834,+1 (812) 442-2500,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,151309,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
"Parkview Wabash Hospital, Inc",,,,Healthcare,healthcare,Enterprise,new,"Wabash, IN",10 John Kissinger Drive,Wabash,IN,46992,+1 (260) 563-3131,300,75000000,50,18.0,,,,,,,Rural,CAH,us_hospital_list_2024,151310,,Enterprise,20000,1666.67,system_member,Parkview Health,parkview_health,Enterprise,community,22500,3800.0,3800.0,32,Midwest,false,false
Indiana University Health Tipton Hospital Inc,,,http://www.linkedin.com/company/indiana-university-health-tipton-hospital-inc,Healthcare,healthcare,Standard,new,"Tipton, IN",1000 S Main St.,Tipton,IN,46072,+1 (765) 675-8500,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,151311,673aa9a3da359b00014faced,Standard,5000,416.67,system_member,Indiana University Health,indiana_university_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Indiana University Health White Memorial Hospital,,,http://www.linkedin.com/company/indiana-university-health-white-memorial-hospital-inc.,Healthcare,healthcare,Standard,new,"Monticello, IN",720 South Sixth St.,Monticello,IN,47960,+1 (574) 583-7111,150,37500000,25,24.0,,,1956,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,151312,66e7662fe13df70001f90f03,Standard,5000,416.67,system_member,Indiana University Health,indiana_university_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Woodlawn Hospital,,,http://www.linkedin.com/company/woodlawn-hospital,Healthcare,healthcare,Standard,new,"Rochester, IN",1400 E 9th St.,Rochester,IN,46975,+1 (574) 223-3141,150,37500000,25,25.0,,,1905,https://twitter.com/woodlawnhosp,https://www.facebook.com/Woodlawnhealth,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,151313,54a19f3a7468694f8fb99f02,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Ascension St. Vincent Salem,,,,Healthcare,healthcare,Standard,new,"Salem, IN",911 N Shelby St.,Salem,IN,47167,+1 (812) 883-5881,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,151314,,Standard,5000,416.67,system_member,Ascension,ascension,Standard,community,5000,3400.0,3400.0,32,Midwest,false,true
Cameron Memorial Community Hospital Inc,,,,Healthcare,healthcare,Standard,new,"Angola, IN",416 E Maumee St.,Angola,IN,46703,+1 (260) 665-2141,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,151315,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Indiana University Health Frankfort Inc,,,,Healthcare,healthcare,Standard,new,"Frankfort, IN",1300 S Jackson St.,Frankfort,IN,46041,+1 (765) 656-3000,150,37500000,25,12.0,,,,,,,Rural,CAH,us_hospital_list_2024,151316,,Standard,5000,416.67,system_member,Indiana University Health,indiana_university_health,Standard,community,5000,3800.0,3800.0,32,Midwest,false,false
Greene County General Hospital,greenecountyhospital.com,http://www.greenecountyhospital.com,http://www.linkedin.com/company/greene-county-general-hospital,Healthcare,healthcare,Standard,new,"Linton, IN",1185 N 1000 W,Linton,IN,47441,+1 (812) 847-4481,150,37500000,25,25.0,,,1912,https://twitter.com/GC_GH,https://www.facebook.com/GreeneCountyGeneralHospital/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695e834dd553da00012d807b/picture,Rural,CAH,us_hospital_list_2024,151317,54a19dcc7468695475bb0302,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
